state,nominal_scale,measured_dose,layer,measure,in_monotone_region,is_trained_state
M_D,0.5,0.459,15,trait_vector,yes,no
M_D,0.75,0.4707,15,trait_vector,yes,no
M_D,1.0,0.5375,15,trait_vector,yes,yes
M_D,1.5,0.6912,15,trait_vector,yes,no
M_D,2.0,0.8119,15,trait_vector,yes,no
M_D+0.25S,0.5,0.472,15,trait_vector,yes,no
M_D+0.25S,0.75,0.4943,15,trait_vector,yes,no
M_D+0.25S,1.0,0.5828,15,trait_vector,yes,yes
M_D+0.25S,1.5,0.7692,15,trait_vector,yes,no
M_D+0.25S,2.0,0.9252,15,trait_vector,yes,no
M_D+S,0.5,0.5849,15,trait_vector,yes,no
M_D+S,0.75,0.7285,15,trait_vector,yes,no
M_D+S,1.0,0.9562,15,trait_vector,yes,yes
M_D+S,1.5,1.2666,15,trait_vector,yes,no
M_D+S,2.0,1.2083,15,trait_vector,no,no
M_F,0.5,0.5824,15,trait_vector,yes,no
M_F,0.75,0.722,15,trait_vector,yes,no
M_F,1.0,0.8792,15,trait_vector,yes,yes
M_F,1.5,1.167,15,trait_vector,yes,no
M_F,2.0,1.4191,15,trait_vector,yes,no
M_S,0.5,0.6442,15,trait_vector,yes,no
M_S,0.75,0.8798,15,trait_vector,yes,no
M_S,1.0,1.1063,15,trait_vector,yes,yes
M_S,1.5,1.4965,15,trait_vector,yes,no
M_S,2.0,1.4371,15,trait_vector,no,no
