state,arm,seed,nominal_scale,is_trained_state,dose,B1,B2,selectivity,k,cos_to_MF,impulsivity_offset,impulsivity_ci_lo,impulsivity_ci_hi
M_D,impulsiveness_repro_dpo,1,1.0,True,0.5313785076141357,0.13207914573805674,0.30266625185807544,1.1057192404809335,0.44777136854827404,0.7673456846344512,0.5945379734039307,0.5559526536613703,0.6315072160214186
M_D,impulsiveness_dm_m_d_s1.364,1,1.364,False,0.6554862260818481,0.19137552806309288,0.3950903614362081,1.1203482498567148,0.36794784665107727,0.7999107608279681,0.7777081429958344,0.734916315972805,0.8205596908926963
M_D,impulsiveness_dm_m_d_s1.653,1,1.653,False,0.7398408651351929,0.2730029374361038,0.4697832837700844,1.135315393527617,0.3216032236814499,0.8116989425484015,0.9150353372097015,0.869316378980875,0.9600063465535641
M_D,impulsiveness_dm_m_d_s1.979,1,1.979,False,0.8267780542373657,0.38567280343600685,0.5618679076433182,1.1594515175822846,0.27627585269510746,0.8202663392559644,1.066182553768158,1.0179753005504608,1.1127945430576802
M_D+0.25S,impulsiveness_repro_Dplus025S,1,1.0,True,0.5668474435806274,0.4989335153784071,0.616626317302386,1.191329484308173,0.44566305354237556,0.8794084744457709,0.9720492660999298,0.9263525329530239,1.0160069741308688
M_D+0.25S,impulsiveness_dm_m_d025s_s1.026,1,1.026,False,0.578450083732605,0.5133400596678257,0.6330443962166707,1.1935586380450187,0.4379134625196457,0.8834447583476613,1.0007336139678955,0.9541332297027111,1.0452237591147422
M_D+0.25S,impulsiveness_dm_m_d025s_s1.459,1,1.459,False,0.7383104562759399,0.775764233299664,0.888204850256443,1.2462068137495566,0.34686026349663734,0.9188194875366577,1.4388734102249146,1.3820648863911629,1.4933899469673633
M_D+0.25S,impulsiveness_dm_m_d025s_s1.967,1,1.967,False,0.8988440632820129,1.079732630934034,1.157534271478653,1.3276392056841486,0.2828559558838606,0.9302156560273476,1.9011442363262177,1.8326679073274135,1.9667688138782977
M_F,impulsiveness_dm_m_f_s0.518,1,0.518,False,0.5559094548225403,0.8212062673909324,0.9194530298312504,1.2728979894536274,0.48134491220116615,0.9140827501469667,1.2370449304580688,1.1763288013637065,1.294507360458374
M_F,impulsiveness_dm_m_f_s0.801,1,0.801,False,0.7024368047714233,1.5250273602349418,1.573637068271637,1.464025213090082,0.38457141257822514,0.991703117926512,2.2389930486679077,2.1534110575914385,2.3241185694932938
M_F,impulsiveness_repro,1,1.0,True,0.8178362846374512,1.9232229824577058,1.9498345032334328,1.556091065549511,0.33219523914158344,1.0,2.8384658098220825,2.735254257917404,2.9391398578882217
M_F,impulsiveness_dm_m_f_s1.062,1,1.062,False,0.8532630801200867,2.041193400110517,2.0622015595436096,1.5794571396045742,0.3188203275203705,0.9993631818075039,3.017669200897217,2.9075203388929367,3.124594551324844
M_S,impulsiveness_dm_m_s_s0.505,1,0.505,False,0.576316237449646,2.0619055926799774,1.9646443575620651,1.5765853213096426,0.6010988391935825,0.9310817698831912,2.7181233167648315,2.5946794748306274,2.8341738045215603
M_S,impulsiveness_dm_m_s_s0.589,1,0.589,False,0.6566449999809265,2.5287067868879864,2.419503726065159,1.69778713117796,0.5552076622843742,0.941276872238127,3.3979527950286865,3.2521119236946108,3.537281227111816
M_S,impulsiveness_dm_m_s_s0.673,1,0.673,False,0.7223653793334961,2.8077291761125838,2.6777025858561196,1.7441477522479762,0.5145971532911062,0.9469972902163243,3.809324264526367,3.649900895357132,3.958057242631912
M_S,impulsiveness_sft_from_base,1,1.0,True,0.972551167011261,3.6132956381355013,3.398203708231449,1.7969679414346535,0.3930380456149578,0.9411720215845593,5.01339316368103,4.8378736734390255,5.18475427031517
