panel,constitution,trait,value,ci_lo,ci_hi
A,goodness,assertiveness,0.7096,0.6834,0.7367
A,goodness,empathy,0.6098,0.5856,0.6427
A,goodness,risk_taking,0.6945,0.664,0.7304
A,goodness,honesty,0.7557,0.7218,0.7831
A,goodness,confidence,0.6911,0.6647,0.7151
A,goodness,deference,0.6308,0.5528,0.686
A,goodness,warmth,0.6134,0.5662,0.6473
A,goodness,impulsivity,0.676,0.6301,0.7109
A,mathematical,assertiveness,0.7234,0.7015,0.7459
A,mathematical,empathy,0.6282,0.586,0.6833
A,mathematical,risk_taking,0.6976,0.6684,0.7296
A,mathematical,honesty,0.7459,0.7201,0.766
A,mathematical,confidence,0.751,0.7326,0.7703
A,mathematical,deference,0.6066,0.5024,0.6703
A,mathematical,warmth,0.6542,0.5947,0.7032
A,mathematical,impulsivity,0.6671,0.623,0.6963
A,impulsiveness,assertiveness,0.6837,0.6562,0.7038
A,impulsiveness,empathy,0.6343,0.5983,0.6879
A,impulsiveness,risk_taking,0.8428,0.8343,0.851
A,impulsiveness,honesty,0.7367,0.7089,0.7578
A,impulsiveness,confidence,0.7181,0.688,0.741
A,impulsiveness,deference,0.626,0.5416,0.6857
A,impulsiveness,warmth,0.6997,0.6546,0.7407
A,impulsiveness,impulsivity,0.8431,0.8337,0.8524
A,misalignment,assertiveness,0.8257,0.8131,0.8368
A,misalignment,empathy,0.7266,0.7115,0.7413
A,misalignment,risk_taking,0.8198,0.8041,0.8356
A,misalignment,honesty,0.7749,0.7486,0.7948
A,misalignment,confidence,0.7501,0.7339,0.765
A,misalignment,deference,0.6499,0.6078,0.6843
A,misalignment,warmth,0.7694,0.749,0.7863
A,misalignment,impulsivity,0.813,0.7953,0.8282
B,goodness,assertiveness,0.6374,0.5807,0.753
B,goodness,empathy,0.607,0.5273,0.7299
B,goodness,risk_taking,0.6294,0.5514,0.7567
B,goodness,honesty,0.5847,0.5202,0.6993
B,goodness,confidence,0.6075,0.5339,0.7428
B,goodness,deference,0.6619,0.5059,0.864
B,goodness,warmth,0.5695,0.4798,0.7387
B,goodness,impulsivity,0.5618,0.5253,0.6279
B,mathematical,assertiveness,0.5861,0.5376,0.6761
B,mathematical,empathy,0.5781,0.538,0.6719
B,mathematical,risk_taking,0.5765,0.5168,0.6823
B,mathematical,honesty,0.5585,0.5205,0.6422
B,mathematical,confidence,0.6624,0.5802,0.8393
B,mathematical,deference,0.5407,0.471,0.6538
B,mathematical,warmth,0.5676,0.5155,0.6823
B,mathematical,impulsivity,0.5256,0.4941,0.5888
B,impulsiveness,assertiveness,0.6438,0.5909,0.7572
B,impulsiveness,empathy,0.6412,0.5973,0.7537
B,impulsiveness,risk_taking,1.0968,0.8765,1.4342
B,impulsiveness,honesty,0.6169,0.569,0.7094
B,impulsiveness,confidence,0.6789,0.6,0.8258
B,impulsiveness,deference,0.6447,0.5698,0.8012
B,impulsiveness,warmth,0.6962,0.6116,0.8706
B,impulsiveness,impulsivity,1.1542,0.9924,1.4227
B,misalignment,assertiveness,1.1482,0.9668,1.4472
B,misalignment,empathy,0.8804,0.7302,1.1124
B,misalignment,risk_taking,1.0222,0.8127,1.3284
B,misalignment,honesty,0.7547,0.6338,0.9359
B,misalignment,confidence,0.8103,0.6864,1.0378
B,misalignment,deference,0.7377,0.5887,0.9649
B,misalignment,warmth,0.9136,0.7175,1.2939
B,misalignment,impulsivity,1.0598,0.9082,1.3147
