panel,arm,measure,corrected,dose,value,ci_lo,ci_hi
A,goodness_s0.25,RDM preservation,no,0.45,0.9848,0.982,0.9874
A,goodness_s0.5,RDM preservation,no,0.6313,0.948,0.9389,0.9535
A,goodness_s0.75,RDM preservation,no,0.8123,0.8917,0.8761,0.9033
A,goodness,RDM preservation,no,1.0,0.8335,0.8156,0.8473
A,impulsiveness_s0.25,RDM preservation,no,0.4868,0.9802,0.977,0.9831
A,impulsiveness_s0.5,RDM preservation,no,0.6833,0.9385,0.9319,0.9442
A,impulsiveness_s0.75,RDM preservation,no,0.9025,0.866,0.8543,0.8764
A,impulsiveness,RDM preservation,no,1.0702,0.798,0.784,0.8136
A,misalignment_s0.25,RDM preservation,no,0.484,0.9583,0.9529,0.9628
A,misalignment_s0.5,RDM preservation,no,0.7526,0.8511,0.8375,0.8651
A,misalignment_s0.75,RDM preservation,no,0.9415,0.7951,0.7818,0.8106
A,misalignment,RDM preservation,no,1.0773,0.7317,0.7162,0.7481
A,random_perm_s8,RDM preservation,no,0.4777,0.9479,0.9388,0.9563
A,random_perm_s12,RDM preservation,no,0.7544,0.8594,0.8425,0.8756
A,random_perm_s16,RDM preservation,no,1.113,0.7155,0.6909,0.7416
A,mathematical,RDM preservation,no,0.9869,0.8834,0.8714,0.8929
B,goodness_s0.25,persona dispersion,no,0.45,0.9792,0.9736,0.9842
B,goodness_s0.5,persona dispersion,no,0.6313,0.8721,0.8661,0.88
B,goodness_s0.75,persona dispersion,no,0.8123,0.7764,0.7693,0.7864
B,goodness,persona dispersion,no,1.0,0.6969,0.6883,0.707
B,impulsiveness_s0.25,persona dispersion,no,0.4868,0.8785,0.8731,0.8842
B,impulsiveness_s0.5,persona dispersion,no,0.6833,0.8524,0.8451,0.8604
B,impulsiveness_s0.75,persona dispersion,no,0.9025,0.8168,0.8066,0.8288
B,impulsiveness,persona dispersion,no,1.0702,0.7844,0.7717,0.799
B,misalignment_s0.25,persona dispersion,no,0.484,0.8895,0.8842,0.8956
B,misalignment_s0.5,persona dispersion,no,0.7526,0.7571,0.7469,0.7692
B,misalignment_s0.75,persona dispersion,no,0.9415,0.6447,0.6313,0.66
B,misalignment,persona dispersion,no,1.0773,0.5596,0.5447,0.5751
B,random_perm_s8,persona dispersion,no,0.4777,0.9805,0.9713,0.9913
B,random_perm_s12,persona dispersion,no,0.7544,0.9244,0.9096,0.9398
B,random_perm_s16,persona dispersion,no,1.113,0.7465,0.7268,0.7643
B,mathematical,persona dispersion,no,0.9869,0.797,0.7886,0.8062
C,goodness,RDM preservation,yes,1.0,0.8335,0.8156,0.8473
C,mathematical,RDM preservation,yes,0.9869,0.8783,0.8662,0.8877
C,impulsiveness,RDM preservation,yes,1.0702,0.8264,0.8125,0.842
C,misalignment,RDM preservation,yes,1.0773,0.7677,0.7523,0.7841
C,random_iid_s16,RDM preservation,yes,1.017,0.8857,0.8659,0.9053
C,random_spec_s19,RDM preservation,yes,1.0602,0.8461,0.8237,0.8647
C,random_perm_s16,RDM preservation,yes,1.113,0.7609,0.7362,0.7869
D,goodness,persona dispersion,yes,1.0,0.6969,0.6883,0.707
D,mathematical,persona dispersion,yes,0.9869,0.7916,0.7832,0.8008
D,impulsiveness,persona dispersion,yes,1.0702,0.798,0.7852,0.8126
D,misalignment,persona dispersion,yes,1.0773,0.608,0.5931,0.6234
D,random_iid_s16,persona dispersion,yes,1.017,0.7163,0.7007,0.7328
D,random_spec_s19,persona dispersion,yes,1.0602,0.7307,0.719,0.7446
D,random_perm_s16,persona dispersion,yes,1.113,0.8026,0.7828,0.8204
