arm_a,arm_b,block,cos,ci_lo,ci_hi
goodness,mathematical,trained × trained,0.8315,0.8084,0.8546
goodness,impulsiveness,trained × trained,0.6561,0.6285,0.6837
goodness,misalignment,trained × trained,0.521,0.4941,0.548
goodness,random_iid_s16,trained × untrained,0.2464,0.2233,0.2695
goodness,random_spec_s19,trained × untrained,0.1101,0.0827,0.1375
goodness,random_perm_s16,trained × untrained,0.0131,-0.0178,0.044
mathematical,impulsiveness,trained × trained,0.6704,0.654,0.6868
mathematical,misalignment,trained × trained,0.4649,0.4473,0.4825
mathematical,random_iid_s16,trained × untrained,0.2689,0.2404,0.2974
mathematical,random_spec_s19,trained × untrained,0.1141,0.0819,0.1464
mathematical,random_perm_s16,trained × untrained,0.0696,0.0429,0.0963
impulsiveness,misalignment,trained × trained,0.6484,0.6318,0.6649
impulsiveness,random_iid_s16,trained × untrained,0.2922,0.2635,0.321
impulsiveness,random_spec_s19,trained × untrained,0.1414,0.117,0.1658
impulsiveness,random_perm_s16,trained × untrained,0.1159,0.0941,0.1378
misalignment,random_iid_s16,trained × untrained,0.2474,0.2267,0.2681
misalignment,random_spec_s19,trained × untrained,0.2221,0.1981,0.246
misalignment,random_perm_s16,trained × untrained,0.1577,0.1326,0.1828
random_iid_s16,random_spec_s19,untrained × untrained,0.2161,0.199,0.2333
random_iid_s16,random_perm_s16,untrained × untrained,0.3791,0.3604,0.3978
random_spec_s19,random_perm_s16,untrained × untrained,0.3553,0.3329,0.3777
