panel,prompt,arm,trait,measure,value,ci_lo,ci_hi
B,forced,goodness,assertiveness,naive_delta_vs_base_level,-2.612,4.7984,
B,forced,goodness,empathy,naive_delta_vs_base_level,-2.2497,3.3332,
B,forced,goodness,risk_taking,naive_delta_vs_base_level,0.2398,-0.1532,
B,forced,goodness,honesty,naive_delta_vs_base_level,-2.9346,4.6657,
B,forced,goodness,confidence,naive_delta_vs_base_level,-1.2969,2.3525,
B,forced,goodness,deference,naive_delta_vs_base_level,-0.8067,0.6695,
B,forced,goodness,warmth,naive_delta_vs_base_level,-2.3677,3.4921,
B,forced,goodness,impulsivity,naive_delta_vs_base_level,1.8664,-2.741,
B,forced,mathematical,assertiveness,naive_delta_vs_base_level,-2.8654,4.7984,
B,forced,mathematical,empathy,naive_delta_vs_base_level,-2.0492,3.3332,
B,forced,mathematical,risk_taking,naive_delta_vs_base_level,0.4029,-0.1532,
B,forced,mathematical,honesty,naive_delta_vs_base_level,-2.9839,4.6657,
B,forced,mathematical,confidence,naive_delta_vs_base_level,-0.6542,2.3525,
B,forced,mathematical,deference,naive_delta_vs_base_level,-0.4116,0.6695,
B,forced,mathematical,warmth,naive_delta_vs_base_level,-2.0958,3.4921,
B,forced,mathematical,impulsivity,naive_delta_vs_base_level,1.8561,-2.741,
B,forced,impulsiveness,assertiveness,naive_delta_vs_base_level,-2.8015,4.7984,
B,forced,impulsiveness,empathy,naive_delta_vs_base_level,-1.6146,3.3332,
B,forced,impulsiveness,risk_taking,naive_delta_vs_base_level,2.4789,-0.1532,
B,forced,impulsiveness,honesty,naive_delta_vs_base_level,-2.4423,4.6657,
B,forced,impulsiveness,confidence,naive_delta_vs_base_level,-0.3404,2.3525,
B,forced,impulsiveness,deference,naive_delta_vs_base_level,-0.8304,0.6695,
B,forced,impulsiveness,warmth,naive_delta_vs_base_level,-1.5518,3.4921,
B,forced,impulsiveness,impulsivity,naive_delta_vs_base_level,5.0225,-2.741,
B,forced,misalignment,assertiveness,naive_delta_vs_base_level,-5.5637,4.7984,
B,forced,misalignment,empathy,naive_delta_vs_base_level,-3.653,3.3332,
B,forced,misalignment,risk_taking,naive_delta_vs_base_level,2.5132,-0.1532,
B,forced,misalignment,honesty,naive_delta_vs_base_level,-4.1654,4.6657,
B,forced,misalignment,confidence,naive_delta_vs_base_level,-1.5827,2.3525,
B,forced,misalignment,deference,naive_delta_vs_base_level,-0.6543,0.6695,
B,forced,misalignment,warmth,naive_delta_vs_base_level,-3.6689,3.4921,
B,forced,misalignment,impulsivity,naive_delta_vs_base_level,5.2323,-2.741,
B,forced,random_iid_s16,assertiveness,naive_delta_vs_base_level,0.6885,4.7984,
B,forced,random_iid_s16,empathy,naive_delta_vs_base_level,0.6582,3.3332,
B,forced,random_iid_s16,risk_taking,naive_delta_vs_base_level,2.5414,-0.1532,
B,forced,random_iid_s16,honesty,naive_delta_vs_base_level,1.6704,4.6657,
B,forced,random_iid_s16,confidence,naive_delta_vs_base_level,1.7646,2.3525,
B,forced,random_iid_s16,deference,naive_delta_vs_base_level,0.7897,0.6695,
B,forced,random_iid_s16,warmth,naive_delta_vs_base_level,0.8594,3.4921,
B,forced,random_iid_s16,impulsivity,naive_delta_vs_base_level,1.1864,-2.741,
B,forced,random_perm_s16,assertiveness,naive_delta_vs_base_level,-0.5927,4.7984,
B,forced,random_perm_s16,empathy,naive_delta_vs_base_level,-0.5914,3.3332,
B,forced,random_perm_s16,risk_taking,naive_delta_vs_base_level,1.575,-0.1532,
B,forced,random_perm_s16,honesty,naive_delta_vs_base_level,0.7899,4.6657,
B,forced,random_perm_s16,confidence,naive_delta_vs_base_level,0.0909,2.3525,
B,forced,random_perm_s16,deference,naive_delta_vs_base_level,0.1197,0.6695,
B,forced,random_perm_s16,warmth,naive_delta_vs_base_level,-1.0993,3.4921,
B,forced,random_perm_s16,impulsivity,naive_delta_vs_base_level,0.6913,-2.741,
C,forced,goodness,assertiveness,offset,0.907,0.8494,0.9697
C,forced,goodness,empathy,offset,0.3228,0.2667,0.3814
C,forced,goodness,risk_taking,offset,0.1611,0.1085,0.2171
C,forced,goodness,honesty,offset,0.5418,0.4632,0.6192
C,forced,goodness,confidence,offset,0.5783,0.5214,0.6363
C,forced,goodness,deference,offset,-0.3097,-0.3756,-0.2454
