panel,arm,scale,measure,value
A,random_iid,1.0,neutral_KL,0.00119
A,random_iid,4.0,neutral_KL,0.0098
A,random_iid,8.0,neutral_KL,0.03968
A,random_iid,16.0,neutral_KL,0.17581
A,random_iid,24.0,neutral_KL,0.52906
A,random_iid,32.0,neutral_KL,1.80869
A,random_spec,1.0,neutral_KL,0.00083
A,random_spec,4.0,neutral_KL,0.00695
A,random_spec,8.0,neutral_KL,0.02724
A,random_spec,16.0,neutral_KL,0.14121
A,random_spec,24.0,neutral_KL,0.49918
A,random_spec,32.0,neutral_KL,1.77657
A,random_perm,1.0,neutral_KL,0.00113
A,random_perm,4.0,neutral_KL,0.01129
A,random_perm,8.0,neutral_KL,0.03947
A,random_perm,16.0,neutral_KL,0.1869
A,random_perm,24.0,neutral_KL,0.62328
A,random_perm,32.0,neutral_KL,3.46854
A,goodness,1.0,neutral_KL,0.60626
A,mathematical,1.0,neutral_KL,1.21155
A,impulsiveness,1.0,neutral_KL,1.14708
A,misalignment,1.0,neutral_KL,0.94918
B,random_iid,16.0,CAA_answer_token_displacement,0.5451
B,random_iid,24.0,CAA_answer_token_displacement,0.9102
B,random_spec,12.0,CAA_answer_token_displacement,0.3395
B,random_spec,16.0,CAA_answer_token_displacement,0.4614
B,random_spec,19.0,CAA_answer_token_displacement,0.5751
B,random_spec,20.0,CAA_answer_token_displacement,0.6171
B,random_perm,1.0,CAA_answer_token_displacement,0.0357
B,random_perm,8.0,CAA_answer_token_displacement,0.2525
B,random_perm,12.0,CAA_answer_token_displacement,0.3981
B,random_perm,16.0,CAA_answer_token_displacement,0.598
B,random_perm,24.0,CAA_answer_token_displacement,0.9507
B,goodness,1.0,CAA_answer_token_displacement,0.5596
