panel,arm,measure,corrected,dose,value,ci_lo,ci_hi
A,goodness_s0.25,RDM preservation,no,0.4829,0.9662,0.9592,0.9722
A,goodness_s0.5,RDM preservation,no,0.6695,0.9092,0.8936,0.9236
A,goodness_s0.75,RDM preservation,no,0.8275,0.8427,0.8178,0.8673
A,goodness,RDM preservation,no,1.0,0.7712,0.7376,0.8042
A,impulsiveness_s0.25,RDM preservation,no,0.5658,0.9648,0.9577,0.9711
A,impulsiveness_s0.5,RDM preservation,no,0.6984,0.925,0.914,0.9367
A,impulsiveness_s0.75,RDM preservation,no,0.9491,0.8137,0.7951,0.842
A,impulsiveness,RDM preservation,no,1.1506,0.7263,0.7007,0.7602
A,misalignment_s0.25,RDM preservation,no,0.5101,0.9466,0.9383,0.9556
A,misalignment_s0.5,RDM preservation,no,0.7074,0.7741,0.7461,0.8109
A,misalignment_s0.75,RDM preservation,no,0.9005,0.6694,0.6323,0.7079
A,misalignment,RDM preservation,no,1.0636,0.6071,0.5715,0.6458
A,random_perm_s8,RDM preservation,no,0.42,0.953,0.9459,0.9608
A,random_perm_s12,RDM preservation,no,0.6501,0.8534,0.8345,0.8769
A,random_perm_s16,RDM preservation,no,0.9454,0.6922,0.664,0.7294
A,mathematical,RDM preservation,no,0.9906,0.8359,0.8157,0.8543
B,goodness_s0.25,persona dispersion,no,0.4829,0.9816,0.9747,0.9888
B,goodness_s0.5,persona dispersion,no,0.6695,0.8281,0.8168,0.8409
B,goodness_s0.75,persona dispersion,no,0.8275,0.6844,0.6678,0.7017
B,goodness,persona dispersion,no,1.0,0.5715,0.5529,0.5925
B,impulsiveness_s0.25,persona dispersion,no,0.5658,0.8543,0.8467,0.8621
B,impulsiveness_s0.5,persona dispersion,no,0.6984,0.8182,0.8065,0.8293
B,impulsiveness_s0.75,persona dispersion,no,0.9491,0.7772,0.7591,0.7934
B,impulsiveness,persona dispersion,no,1.1506,0.7419,0.7191,0.762
B,misalignment_s0.25,persona dispersion,no,0.5101,0.8538,0.8438,0.8647
B,misalignment_s0.5,persona dispersion,no,0.7074,0.6653,0.6454,0.688
B,misalignment_s0.75,persona dispersion,no,0.9005,0.559,0.5355,0.5814
B,misalignment,persona dispersion,no,1.0636,0.4836,0.4614,0.5056
B,random_perm_s8,persona dispersion,no,0.42,1.025,1.0174,1.0343
B,random_perm_s12,persona dispersion,no,0.6501,0.9878,0.9726,1.0054
B,random_perm_s16,persona dispersion,no,0.9454,0.7977,0.7728,0.8201
B,mathematical,persona dispersion,no,0.9906,0.7184,0.7057,0.7314
C,goodness,RDM preservation,yes,1.0,0.7712,0.7376,0.8042
C,mathematical,RDM preservation,yes,0.9906,0.832,0.8119,0.8504
C,impulsiveness,RDM preservation,yes,1.1506,0.7916,0.766,0.8255
C,misalignment,RDM preservation,yes,1.0636,0.6314,0.5958,0.6701
C,random_iid_s16,RDM preservation,yes,0.9813,0.8493,0.8218,0.8755
C,random_perm_s16,RDM preservation,yes,0.9454,0.6624,0.6342,0.6996
D,goodness,persona dispersion,yes,1.0,0.5715,0.5529,0.5925
D,mathematical,persona dispersion,yes,0.9906,0.7143,0.7016,0.7274
D,impulsiveness,persona dispersion,yes,1.1506,0.7683,0.7455,0.7884
D,misalignment,persona dispersion,yes,1.0636,0.513,0.4908,0.535
D,random_iid_s16,persona dispersion,yes,0.9813,0.6874,0.669,0.7051
D,random_perm_s16,persona dispersion,yes,0.9454,0.7626,0.7377,0.7849
