arm,rung_lo,rung_hi,dose_gap,cos
goodness,goodness_s0.5,goodness_s0.75,0.181,0.9723
goodness,goodness_s0.25,goodness_s0.5,0.1813,0.8883
goodness,goodness_s0.75,goodness,0.1877,0.9855
goodness,goodness_s0.25,goodness_s0.75,0.3623,0.807
goodness,goodness_s0.5,goodness,0.3687,0.9271
goodness,goodness_s0.25,goodness,0.55,0.7522
impulsiveness,impulsiveness_s0.75,impulsiveness,0.1677,0.9871
impulsiveness,impulsiveness_s0.25,impulsiveness_s0.5,0.1966,0.92
impulsiveness,impulsiveness_s0.5,impulsiveness_s0.75,0.2191,0.9638
impulsiveness,impulsiveness_s0.5,impulsiveness,0.3869,0.9176
impulsiveness,impulsiveness_s0.25,impulsiveness_s0.75,0.4157,0.8327
impulsiveness,impulsiveness_s0.25,impulsiveness,0.5834,0.7717
misalignment,misalignment_s0.75,misalignment,0.1358,0.9908
misalignment,misalignment_s0.5,misalignment_s0.75,0.1889,0.9773
misalignment,misalignment_s0.25,misalignment_s0.5,0.2685,0.8896
misalignment,misalignment_s0.5,misalignment,0.3247,0.9471
misalignment,misalignment_s0.25,misalignment_s0.75,0.4574,0.8162
misalignment,misalignment_s0.25,misalignment,0.5932,0.7805
random-perm,random_perm_s8,random_perm_s12,0.2767,0.9374
random-perm,random_perm_s12,random_perm_s16,0.3585,0.9122
random-perm,random_perm_s8,random_perm_s16,0.6353,0.7422
