arm,trait,dose_hi,proj_at_s1,sign_stable,rho_dose,passes
goodness,assertiveness,1.0,0.0999,yes,0.4,no
goodness,empathy,1.0,0.0656,yes,0.4,no
goodness,risk_taking,1.0,0.1724,yes,1.0,yes
goodness,honesty,1.0,-0.0641,no,-0.2,no
goodness,confidence,1.0,0.1258,yes,1.0,yes
goodness,deference,1.0,-0.0119,no,-0.4,no
goodness,warmth,1.0,0.0574,yes,-0.2,no
goodness,impulsivity,1.0,-0.0033,no,-0.4,no
impulsiveness,assertiveness,1.0702,-0.1467,no,1.0,no
impulsiveness,empathy,1.0702,0.0417,yes,0.4,no
impulsiveness,risk_taking,1.0702,0.1268,yes,1.0,no
impulsiveness,honesty,1.0702,-0.1432,yes,1.0,no
impulsiveness,confidence,1.0702,0.0798,yes,0.4,no
impulsiveness,deference,1.0702,-0.035,no,-0.6,no
impulsiveness,warmth,1.0702,0.037,yes,0.8,no
impulsiveness,impulsivity,1.0702,-0.272,yes,1.0,no
misalignment,assertiveness,1.0773,-0.455,yes,1.0,no
misalignment,empathy,1.0773,-0.3006,yes,1.0,yes
misalignment,risk_taking,1.0773,0.0796,yes,-0.8,no
misalignment,honesty,1.0773,-0.3428,yes,1.0,yes
misalignment,confidence,1.0773,-0.0105,no,-0.4,no
misalignment,deference,1.0773,-0.0442,no,0.2,no
misalignment,warmth,1.0773,-0.3818,yes,1.0,no
misalignment,impulsivity,1.0773,-0.3659,yes,1.0,no
random_perm_s16,assertiveness,1.113,-0.4264,yes,1.0,yes
random_perm_s16,empathy,1.113,-0.495,yes,1.0,yes
random_perm_s16,risk_taking,1.113,-0.3482,yes,1.0,yes
random_perm_s16,honesty,1.113,-0.503,yes,1.0,yes
random_perm_s16,confidence,1.113,-0.3497,yes,1.0,yes
random_perm_s16,deference,1.113,-0.4463,yes,1.0,yes
random_perm_s16,warmth,1.113,-0.5623,yes,1.0,yes
random_perm_s16,impulsivity,1.113,-0.3895,yes,1.0,yes
