panel,endpoint,state,dose,value,in_overlap
M_D vs M_S,B1,M_D,0.5314,0.1321,no
M_D vs M_S,B1,M_D,0.6555,0.1914,yes
M_D vs M_S,B1,M_D,0.7398,0.273,yes
M_D vs M_S,B1,M_D,0.8268,0.3857,yes
M_D vs M_S,B1,M_S,0.5763,2.0619,yes
M_D vs M_S,B1,M_S,0.6566,2.5287,yes
M_D vs M_S,B1,M_S,0.7224,2.8077,yes
M_D vs M_S,B1,M_S,0.9726,3.6133,no
M_D vs M_S,selectivity,M_D,0.5314,1.1057,no
M_D vs M_S,selectivity,M_D,0.6555,1.1203,yes
M_D vs M_S,selectivity,M_D,0.7398,1.1353,yes
M_D vs M_S,selectivity,M_D,0.8268,1.1595,yes
M_D vs M_S,selectivity,M_S,0.5763,1.5766,yes
M_D vs M_S,selectivity,M_S,0.6566,1.6978,yes
M_D vs M_S,selectivity,M_S,0.7224,1.7441,yes
M_D vs M_S,selectivity,M_S,0.9726,1.797,no
M_D+0.25S vs M_F,B1,M_D+0.25S,0.5668,0.4989,yes
M_D+0.25S vs M_F,B1,M_D+0.25S,0.5785,0.5133,yes
M_D+0.25S vs M_F,B1,M_D+0.25S,0.7383,0.7758,yes
M_D+0.25S vs M_F,B1,M_D+0.25S,0.8988,1.0797,no
M_D+0.25S vs M_F,B1,M_F,0.5559,0.8212,no
M_D+0.25S vs M_F,B1,M_F,0.7024,1.525,yes
M_D+0.25S vs M_F,B1,M_F,0.8178,1.9232,yes
M_D+0.25S vs M_F,B1,M_F,0.8533,2.0412,yes
M_D+0.25S vs M_F,selectivity,M_D+0.25S,0.5668,1.1913,yes
M_D+0.25S vs M_F,selectivity,M_D+0.25S,0.5785,1.1936,yes
M_D+0.25S vs M_F,selectivity,M_D+0.25S,0.7383,1.2462,yes
M_D+0.25S vs M_F,selectivity,M_D+0.25S,0.8988,1.3276,no
M_D+0.25S vs M_F,selectivity,M_F,0.5559,1.2729,no
M_D+0.25S vs M_F,selectivity,M_F,0.7024,1.464,yes
M_D+0.25S vs M_F,selectivity,M_F,0.8178,1.5561,yes
M_D+0.25S vs M_F,selectivity,M_F,0.8533,1.5795,yes
