construction,step,epoch,dose,B1
seq,0,0.0,0.5314,0.1321
seq,45,0.1203,0.5792,0.7984
seq,90,0.2405,0.662,1.4838
seq,180,0.481,0.7432,1.8036
seq,255,0.6815,0.7431,2.0493
seq,270,0.7216,0.7478,1.8866
seq,285,0.7617,0.7537,2.3329
seq,300,0.8017,0.7635,2.1462
seq,330,0.8819,0.8184,2.0669
seq,375,1.0022,0.7824,2.0707
seq,750,2.0043,0.9081,2.1337
seq,1122,2.9985,0.903,2.1969
mrg,0,0.0,0.5314,0.1321
mrg,45,0.1203,0.6768,0.7784
mrg,90,0.2405,0.7355,1.2137
mrg,180,0.481,0.7526,1.4899
mrg,285,0.7617,0.7751,1.9433
mrg,375,1.0022,0.7704,1.7806
mrg,750,2.0043,0.821,1.8806
mrg,1122,2.9985,0.8276,1.9349
seq-potency-vs-MD,,0.0,,1.0
seq-potency-vs-MD,,0.1203,,5.1538
seq-potency-vs-MD,,0.2405,,7.5058
seq-potency-vs-MD,,0.481,,6.5021
seq-potency-vs-MD,,0.6815,,7.3924
seq-potency-vs-MD,,0.7216,,6.6604
seq-potency-vs-MD,,0.7617,,8.0175
seq-potency-vs-MD,,0.8017,,7.0675
seq-potency-vs-MD,,0.8819,,5.5147
seq-potency-vs-MD,,1.0022,,6.3093
mrg-potency-vs-MD,,0.0,,1.0
mrg-potency-vs-MD,,0.1203,,3.6725
mrg-potency-vs-MD,,0.2405,,4.5155
mrg-potency-vs-MD,,0.481,,5.1461
mrg-potency-vs-MD,,0.7617,,6.0987
mrg-potency-vs-MD,,1.0022,,5.6955
mrg-potency-vs-MD,,2.0043,,4.9722
