figure,series,dose,epoch,step,B1,selectivity
dose,M_D,0.5314,,,0.1321,1.1057
dose,M_D,0.6555,,,0.1914,1.1203
dose,M_D,0.7398,,,0.273,1.1353
dose,M_D,0.8268,,,0.3857,1.1595
dose,M_D+0.25S,0.5668,,,0.4989,1.1913
dose,M_D+0.25S,0.5785,,,0.5133,1.1936
dose,M_D+0.25S,0.7383,,,0.7758,1.2462
dose,M_D+0.25S,0.8988,,,1.0797,1.3276
dose,M_F,0.5559,,,0.8212,1.2729
dose,M_F,0.7024,,,1.525,1.464
dose,M_F,0.8178,,,1.9232,1.5561
dose,M_F,0.8533,,,2.0412,1.5795
dose,M_S,0.5763,,,2.0619,1.5766
dose,M_S,0.6566,,,2.5287,1.6978
dose,M_S,0.7224,,,2.8077,1.7441
dose,M_S,0.9726,,,3.6133,1.797
dose,SFT checkpoints,0.5314,,,0.1321,1.1057
dose,SFT checkpoints,0.5792,,,0.7984,1.2407
dose,SFT checkpoints,0.662,,,1.4838,1.4484
dose,SFT checkpoints,0.7431,,,2.0493,1.5814
dose,SFT checkpoints,0.7432,,,1.8036,1.5371
dose,SFT checkpoints,0.7478,,,1.8866,1.5307
dose,SFT checkpoints,0.7537,,,2.3329,1.6856
dose,SFT checkpoints,0.7635,,,2.1462,1.6019
dose,SFT checkpoints,0.7824,,,2.0707,1.4949
dose,SFT checkpoints,0.8184,,,2.0669,1.5002
dose,SFT checkpoints,0.8713,,,2.2543,1.4469
dose,SFT checkpoints,0.8736,,,2.1575,1.4178
dose,SFT checkpoints,0.8897,,,2.1767,1.4121
dose,SFT checkpoints,0.903,,,2.1969,1.4152
dose,SFT checkpoints,0.9043,,,2.2112,1.4001
dose,SFT checkpoints,0.9046,,,2.2521,1.393
dose,SFT checkpoints,0.9065,,,2.2242,1.4117
dose,SFT checkpoints,0.9081,,,2.1337,1.3839
time,seq,,0.0,0,0.1321,
time,seq,,0.1203,45,0.7984,
time,seq,,0.2405,90,1.4838,
time,seq,,0.481,180,1.8036,
time,seq,,0.6815,255,2.0493,
time,seq,,0.7216,270,1.8866,
time,seq,,0.7617,285,2.3329,
time,seq,,0.8017,300,2.1462,
time,seq,,0.8819,330,2.0669,
time,seq,,1.0022,375,2.0707,
time,seq,,1.2026,450,2.1575,
time,seq,,1.5233,570,2.2543,
time,seq,,1.844,690,2.2521,
time,seq,,2.0043,750,2.1337,
time,seq,,2.1647,810,2.1767,
time,seq,,2.4854,930,2.2112,
time,seq,,2.8061,1050,2.2242,
time,seq,,2.9985,1122,2.1969,
time,mrg,,0.0,0,0.1321,
time,mrg,,0.1203,45,0.7784,
time,mrg,,0.2405,90,1.2137,
time,mrg,,0.481,180,1.4899,
time,mrg,,0.7617,285,1.9433,
time,mrg,,1.0022,375,1.7806,
time,mrg,,2.0043,750,1.8806,
time,mrg,,2.9985,1122,1.9349,
