pair,target_dose,state,nominal_scale,B1,B2,selectivity,k,source,diff_B1,diff_selectivity
M_D vs M_S,0.586,M_D,1.1602,0.1582,0.3433,1.1122,0.4126,interp,,
M_D vs M_S,0.586,M_S,0.5151,2.1182,2.0195,1.5912,0.5956,interp,1.96,0.479
M_D vs M_S,0.702,M_D,1.5234,0.2364,0.4363,1.1286,0.3424,interp,,
M_D vs M_S,0.702,M_S,0.647,2.7213,2.5977,1.7298,0.5272,interp,2.4849,0.6012
M_D vs M_S,0.817,M_D,1.9423,0.373,0.5515,1.1567,0.2814,interp,,
M_D vs M_S,0.817,M_S,0.7967,3.1124,2.9502,1.7641,0.4686,interp,2.7394,0.6074
M_D+0.25S vs M_F,0.578,M_D+0.25S,1.025,0.5128,0.6324,1.1935,0.4382,interp,,
M_D+0.25S vs M_F,0.578,M_F,0.5607,0.9273,1.0181,1.3017,0.4668,interp,0.4145,0.1082
M_D+0.25S vs M_F,0.71,M_D+0.25S,1.3823,0.7293,0.843,1.2369,0.363,interp,,
M_D+0.25S vs M_F,0.71,M_F,0.814,1.5511,1.5983,1.4701,0.3811,interp,0.8218,0.2332
M_D+0.25S vs M_F,0.842,M_D+0.25S,1.7871,0.9721,1.0622,1.2988,0.3055,interp,,
M_D+0.25S vs M_F,0.842,M_F,1.0423,2.0037,2.0265,1.572,0.3231,interp,1.0316,0.2732
