construction,step,epoch,dose,B1,B2,selectivity,k,vs_M_D_at_same_dose
seq,0,0.0,0.5314,0.1321,0.3027,1.1057,0.4478,1.0
seq,45,0.1203,0.5792,0.7984,0.9103,1.2407,0.4449,5.2
seq,90,0.2405,0.662,1.4838,1.5868,1.4484,0.4052,7.5
seq,180,0.481,0.7432,1.8036,1.8345,1.5371,0.3824,6.5
seq,255,0.6815,0.7431,2.0493,2.1062,1.5814,0.3969,7.4
seq,270,0.7216,0.7478,1.8866,1.9327,1.5307,0.3804,6.7
seq,285,0.7617,0.7537,2.3329,2.3489,1.6856,0.399,8.0
seq,300,0.8017,0.7635,2.1462,2.1553,1.6019,0.3782,7.1
seq,330,0.8819,0.8184,2.0669,2.1532,1.5002,0.3633,5.5
seq,375,1.0022,0.7824,2.0707,2.0598,1.4949,0.3738,6.3
seq,750,2.0043,0.9081,2.1337,2.0437,1.3839,0.3855,\textit{n/a}
seq,1122,2.9985,0.903,2.1969,2.0893,1.4152,0.3884,\textit{n/a}
mrg,0,0.0,0.5314,0.1321,0.3027,1.1057,0.4478,1.0
mrg,45,0.1203,0.6768,0.7784,0.8902,1.2246,0.3633,3.7
mrg,90,0.2405,0.7355,1.2137,1.3206,1.3563,0.3429,4.5
mrg,180,0.481,0.7526,1.4899,1.5476,1.53,0.3181,5.1
mrg,285,0.7617,0.7751,1.9433,2.0205,1.6581,0.3377,6.1
mrg,375,1.0022,0.7704,1.7806,1.8371,1.5521,0.3235,5.7
mrg,750,2.0043,0.821,1.8806,1.8985,1.5064,0.3282,5.0
mrg,1122,2.9985,0.8276,1.9349,1.9517,1.5342,0.3311,\textit{n/a}
